,0
0,GnosisSafeProxy
1,Proxy
2,GnosisSafeProxy
3,OceanRewardPool
4,N/A
5,StakingRewards
6,StakingRewards
7,StakingRewards
8,MerkleDistributor
9,MerkleDistributor
10,
11,DisbursementCliff
12,DisbursementCliff
13,N/A
14,N/A
15,DisbursementCliff
16,DisbursementCliff
17,DisbursementCliff
18,DisbursementCliff
19,DisbursementCliff
20,DisbursementCliff
21,
22,DisbursementCliff
23,
24,DisbursementCliff
25,DisbursementCliff
26,
27,DisbursementCliff
28,DisbursementCliff
29,DisbursementCliff
30,DisbursementCliff
31,DisbursementCliff
32,DisbursementCliff
33,N/A
34,VirtualBalanceRewardPool
35,DisbursementCliff
36,DisbursementCliff
37,DisbursementCliff
38,GnosisSafeProxy
39,DisbursementCliff
40,StakingRewards
41,N/A
42,DisbursementCliff
43,DisbursementCliff
44,DisbursementCliff
45,DisbursementCliff
46,DisbursementCliff
47,DisbursementCliff
48,DisbursementCliff
49,N/A
50,N/A
51,N/A
52,StakingRewards
53,N/A
54,N/A
55,N/A
56,N/A
57,N/A
58,N/A
59,StakingRewards
60,DisbursementCliff
61,N/A
62,DisbursementCliff
63,DisbursementCliff
64,DisbursementCliff
65,DisbursementCliff
66,DisbursementCliff
67,DisbursementCliff
68,N/A
69,DisbursementCliff
70,N/A
71,DisbursementCliff
72,VirtualBalanceRewardPool
73,N/A
74,N/A
75,DisbursementCliff
76,N/A
77,N/A
78,N/A
79,GnosisSafeProxy
80,N/A
81,N/A
82,VirtualBalanceRewardPool
83,N/A
84,DisbursementCliff
85,N/A
86,N/A
87,Holding
88,N/A
89,N/A
90,N/A
91,N/A
92,N/A
93,N/A
94,N/A
95,N/A
96,N/A
97,N/A
98,N/A
99,N/A
