number_of_tokens,address,name,creator
378176.7311,0xedd77d21145fa99ae03689f7341e42750f9cf33c,GnosisSafeProxy,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
150000,0x4a848f44146ca6d1d6aa34bcdf3c41093def1761,Proxy,0x26104955b8280c28ca392f42422fdbdbf93c7003
120000,0xad0a852f968e19cbcb350ab9426276685651ce41,GnosisSafeProxy,0x96c72085652787725690116cb06b208598175def
46091.09858,0x90e28f3c395be18c311f18c99646c7f2a2d288f4,OceanRewardPool,0x3b29edf2e6ada78b95492e0d0617d643a5ee55d3
30000,0xfb6709b2fb3aa63cd95ddea3b7d1f43fb9033af1,N/A,N/A
16241.72427,0x9b3f79495649ff97a38c11cb23a2d5d089f06585,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
11752.08248,0xd8031d053a2e2370c5a510c9a94aff29565a7365,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
10897.96861,0x0210b1ed07df594fd3aac32832a6e1690554716a,StakingRewards,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
10396.83428,0xf3d05e481e1f7baaa32759e3218e8cce270f4a50,MerkleDistributor,0x26104955b8280c28ca392f42422fdbdbf93c7003
10378.23669,0xd49c1381f54e87e0e69735c103429444a400e575,MerkleDistributor,0x26104955b8280c28ca392f42422fdbdbf93c7003
10178.31316,0x0d14d6c998b29f93d95796098d19289c8028f11d,,0x78e869870e425a4d78bc18c46be9a6b9b8417cb5
8000,0x3d5cfa6fae16bb26b9bf92c01f1657c75d6da4df,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
8000,0x4a4bb9b3413ebbd2345139bbe66428955ea09e78,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
6197.624889,0xb11206931df47c73e609dfd679798ac37f800599,N/A,N/A
5722.523042,0x86b2e21747a35faa7fc7f4f43b058e68a3af03dc,N/A,N/A
5500,0x40de5dd1b1988d506b22156e51c23ad779b2f95d,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x3ee91da5ed667a4a90bf28381675a24857ddadd9,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xd7cdb70d7dab350f368a2282799148edefb2fddb,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x7ff5e116c6baeeb6e835a2b77b240ea6484016cf,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xae85ef91e97fedf93fa4e29710d30a6af8bf0655,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x8f4ad49cffab2615d9ee2ef40da94664f737ca95,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xf588484befe7658cb1f4c8d208f6f6c97f768e50,,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xc86452c9637c743be57a16dd01b432bcaae86f30,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x5214bb526a6fb097d43f534b1ed938e9a6d76080,,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xd14a89b16629b7254c4925f61f69c02d4a18b6a9,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x04f0bac1ba7c9abbec24c572ad45f0f736e33044,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0x1db36b4727f228618594a173c4fe0c2d06d3d4c1,,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xf031d0ef47ca08f2d9ce2104f11b9734ade94d73,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
5500,0xd5c408194005a5a8d67ca369f5b6cc51e387761a,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
4635.633261,0x716bec638455ccae04b0908aeb7c367271800453,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
4000,0xd361ff40cc9eecfdfbb800b1f6311fc571a34fce,DisbursementCliff,0xc68e2a702c7f2ecfaf6e4e885da1ceb2f767183a
